emb_type,epoch,acc,precision,recall,f1
word2vec,1,57.1772,0.585,0.5622,0.5358
word2vec,2,57.1905,0.5851,0.5623,0.5361
word2vec,3,57.5907,0.589,0.5666,0.5425
word2vec,4,57.5907,0.588,0.5668,0.5441
word2vec,5,57.4039,0.5905,0.564,0.535
word2vec,6,57.2972,0.5863,0.5634,0.5376
word2vec,7,57.3906,0.5827,0.5654,0.5461
word2vec,8,57.3506,0.5866,0.5641,0.5388
word2vec,9,57.5107,0.5886,0.5657,0.5408
word2vec,10,57.5374,0.5889,0.566,0.5412
word2vec,11,57.5374,0.589,0.5659,0.541
word2vec,12,57.3773,0.5821,0.5654,0.5467
word2vec,13,57.3906,0.5851,0.5649,0.5422
word2vec,14,57.5374,0.5944,0.565,0.5339
word2vec,15,57.484,0.5909,0.5649,0.5368
word2vec,16,57.4306,0.5885,0.5647,0.5385
word2vec,17,57.6174,0.5869,0.5674,0.5464
word2vec,18,57.524,0.5899,0.5656,0.5394
word2vec,19,57.6441,0.5931,0.5665,0.5387
word2vec,20,57.6041,0.5898,0.5666,0.5419
emb_type,epoch,acc,precision,recall,f1
glove,1,79.349,0.7932,0.7934,0.7933
glove,2,79.6558,0.7975,0.7976,0.7966
glove,3,79.8693,0.7988,0.7992,0.7986
glove,4,80.2695,0.8039,0.8012,0.8018
glove,5,80.4829,0.8066,0.8062,0.8048
glove,6,80.7497,0.8078,0.8082,0.8075
glove,7,80.3362,0.8032,0.8035,0.8032
glove,8,80.9365,0.8101,0.8103,0.8094
glove,9,80.5096,0.8049,0.8052,0.805
glove,10,80.9498,0.8116,0.811,0.8095
glove,11,81.0966,0.8107,0.811,0.8108
glove,12,81.1099,0.811,0.8105,0.8107
glove,13,81.2567,0.8134,0.8136,0.8126
glove,14,81.1233,0.811,0.8111,0.811
glove,15,80.8298,0.8102,0.8098,0.8083
glove,16,81.2033,0.8131,0.8107,0.8112
glove,17,81.3634,0.8138,0.8142,0.8136
glove,18,81.2834,0.8127,0.8131,0.8127
glove,19,80.643,0.8099,0.8084,0.8063
glove,20,80.9632,0.8105,0.8106,0.8096
emb_type,epoch,acc,precision,recall,f1
fasttext,1,82.5907,0.8258,0.8254,0.8256
fasttext,2,82.1371,0.8271,0.8188,0.8195
fasttext,3,75.547,0.7927,0.7619,0.7503
fasttext,4,79.6825,0.8196,0.8017,0.7947
fasttext,5,83.0309,0.8353,0.8279,0.8288
fasttext,6,82.1238,0.8241,0.8193,0.82
fasttext,7,80.4162,0.8234,0.7995,0.7993
fasttext,8,84.2182,0.8419,0.842,0.842
fasttext,9,83.7113,0.8424,0.8347,0.8356
fasttext,10,84.6051,0.8459,0.8458,0.8458
fasttext,11,82.8442,0.8349,0.831,0.8282
fasttext,12,83.4045,0.8366,0.8357,0.834
fasttext,13,83.4979,0.8354,0.8358,0.835
fasttext,14,84.0181,0.8422,0.8386,0.8393
fasttext,15,84.6585,0.847,0.8474,0.8466
fasttext,16,83.4979,0.8403,0.8325,0.8334
fasttext,17,80.2561,0.8261,0.7974,0.7968
fasttext,18,81.857,0.835,0.8143,0.8147
fasttext,19,81.2033,0.8306,0.8075,0.8076
fasttext,20,85.1654,0.8515,0.8519,0.8516
emb_type,epoch,acc,precision,recall,f1
bert,1,81.27,0.8131,0.8134,0.8127
bert,2,81.6169,0.816,0.8164,0.8161
bert,3,82.1772,0.8218,0.8223,0.8217
bert,4,82.4173,0.8241,0.8236,0.8238
bert,5,81.6435,0.8206,0.8185,0.8163
bert,6,82.2305,0.8221,0.8225,0.8222
bert,7,82.5107,0.8256,0.8259,0.8251
bert,8,82.5507,0.8252,0.8255,0.8253
bert,9,82.8308,0.8282,0.8278,0.828
bert,10,82.5374,0.8251,0.8254,0.8252
bert,11,83.0443,0.8302,0.8306,0.8303
bert,12,82.6441,0.827,0.8273,0.8264
bert,13,82.4707,0.8244,0.8246,0.8245
bert,14,82.4707,0.8246,0.8243,0.8244
bert,15,82.8709,0.8293,0.8296,0.8287
bert,16,82.9109,0.8291,0.8296,0.829
bert,17,83.151,0.8313,0.8316,0.8314
bert,18,82.8709,0.8284,0.8287,0.8285
bert,19,82.4039,0.825,0.8251,0.824
bert,20,82.6574,0.8263,0.8263,0.8263
emb_type,epoch,acc,precision,recall,f1
sbert,1,85.0587,0.8511,0.8497,0.8501
sbert,2,86.0326,0.8601,0.8606,0.8602
sbert,3,86.1526,0.8613,0.8617,0.8614
sbert,4,86.0059,0.8608,0.8591,0.8596
sbert,5,86.5795,0.8659,0.8653,0.8655
sbert,6,86.4861,0.8649,0.8644,0.8646
sbert,7,86.6462,0.8668,0.8658,0.8661
sbert,8,86.286,0.8626,0.8628,0.8627
sbert,9,86.7796,0.8676,0.8679,0.8677
sbert,10,86.793,0.8677,0.8681,0.8678
sbert,11,86.7396,0.8678,0.8682,0.8674
sbert,12,86.8863,0.8689,0.8684,0.8686
sbert,13,86.8997,0.8688,0.8693,0.8689
sbert,14,86.8597,0.8684,0.8685,0.8684
sbert,15,86.7663,0.8675,0.868,0.8676
sbert,16,86.6062,0.8659,0.8664,0.866
sbert,17,86.6329,0.8662,0.8667,0.8663
sbert,18,86.0859,0.8611,0.8602,0.8605
sbert,19,86.5395,0.8652,0.8653,0.8652
sbert,20,86.286,0.8635,0.862,0.8624
emb_type,epoch,acc,precision,recall,f1
simcse,1,82.8175,0.8288,0.8271,0.8276
simcse,2,83.0043,0.8298,0.8299,0.8298
simcse,3,82.7775,0.8282,0.8269,0.8272
simcse,4,82.9909,0.8297,0.8299,0.8298
simcse,5,83.2177,0.8328,0.8311,0.8316
simcse,6,82.9376,0.8314,0.8309,0.8294
simcse,7,83.1777,0.8322,0.8309,0.8313
simcse,8,83.3111,0.8329,0.8332,0.833
simcse,9,82.9109,0.8291,0.8296,0.8291
simcse,10,83.4712,0.8346,0.835,0.8346
simcse,11,83.191,0.8327,0.8329,0.8319
simcse,12,83.191,0.8318,0.8322,0.8318
simcse,13,83.3111,0.833,0.8327,0.8328
simcse,14,83.2577,0.8328,0.8318,0.8321
simcse,15,83.4045,0.8344,0.8332,0.8335
simcse,16,83.3244,0.833,0.833,0.833
simcse,17,83.151,0.8313,0.8313,0.8313
simcse,18,83.0977,0.8308,0.8307,0.8307
simcse,19,83.0576,0.8303,0.8306,0.8304
simcse,20,83.4578,0.8343,0.8344,0.8344
emb_type,epoch,acc,precision,recall,f1
llm,1,87.1531,0.8714,0.8719,0.8715
llm,2,87.6868,0.8766,0.8768,0.8767
llm,3,87.7935,0.8777,0.8779,0.8778
llm,4,87.7134,0.8769,0.8771,0.877
llm,5,88.0336,0.8811,0.8814,0.8803
llm,6,87.9803,0.8801,0.8806,0.8798
llm,7,88.207,0.8822,0.8827,0.882
llm,8,88.207,0.8819,0.8824,0.882
llm,9,88.5005,0.8849,0.8854,0.8849
llm,10,88.6339,0.8861,0.8866,0.8863
llm,11,88.2604,0.883,0.8834,0.8826
llm,12,88.4205,0.8843,0.8848,0.8842
llm,13,88.6073,0.886,0.8866,0.886
llm,14,88.5005,0.8851,0.8856,0.885
llm,15,88.087,0.8818,0.882,0.8809
llm,16,88.6073,0.8858,0.8862,0.886
llm,17,88.2871,0.8832,0.8837,0.8829
llm,18,88.2604,0.883,0.8834,0.8826
llm,19,88.4338,0.8843,0.8848,0.8843
llm,20,88.5005,0.885,0.8846,0.8848
